ITER,PRECISION,RECALL,F-SCORE,SOLVER,ACTIVATION,ALPHA,HIDDEN LAYERS
0,[ 0.90776699  0.93298969],[ 0.935  0.905],[ 0.92118227  0.91878173],lbfgs,logistic,0.0001,(3, 6, 6)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(4, 2, 2)
0,[ 0.92424242  0.91584158],[ 0.915  0.925],[ 0.91959799  0.92039801],lbfgs,logistic,0.0001,(4, 2, 3)
0,[ 0.90338164  0.93264249],[ 0.935  0.9  ],[ 0.91891892  0.91603053],lbfgs,logistic,0.0001,(4, 2, 4)
0,[ 0.   0.5],[ 0.  1.],[ 0.          0.66666667],lbfgs,logistic,0.0001,(4, 2, 5)
0,[ 0.915  0.915],[ 0.915  0.915],[ 0.915  0.915],lbfgs,logistic,0.0001,(4, 2, 6)
0,[ 0.90776699  0.93298969],[ 0.935  0.905],[ 0.92118227  0.91878173],lbfgs,logistic,0.0001,(4, 3, 2)
0,[ 0.90776699  0.93298969],[ 0.935  0.905],[ 0.92118227  0.91878173],lbfgs,logistic,0.0001,(4, 3, 3)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(4, 3, 4)
0,[ 0.91044776  0.91457286],[ 0.915  0.91 ],[ 0.9127182  0.9122807],lbfgs,logistic,0.0001,(4, 3, 5)
0,[ 0.91176471  0.92857143],[ 0.93  0.91],[ 0.92079208  0.91919192],lbfgs,logistic,0.0001,(4, 3, 6)
0,[ 0.91176471  0.92857143],[ 0.93  0.91],[ 0.92079208  0.91919192],lbfgs,logistic,0.0001,(4, 4, 2)
0,[ 0.89903846  0.93229167],[ 0.935  0.895],[ 0.91666667  0.91326531],lbfgs,logistic,0.0001,(4, 4, 3)
0,[ 0.91219512  0.93333333],[ 0.935  0.91 ],[ 0.92345679  0.92151899],lbfgs,logistic,0.0001,(4, 4, 4)
0,[ 0.91176471  0.92857143],[ 0.93  0.91],[ 0.92079208  0.91919192],lbfgs,logistic,0.0001,(4, 4, 5)
0,[ 0.91133005  0.92385787],[ 0.925  0.91 ],[ 0.91811414  0.91687657],lbfgs,logistic,0.0001,(4, 4, 6)
0,[ 0.   0.5],[ 0.  1.],[ 0.          0.66666667],lbfgs,logistic,0.0001,(4, 5, 2)
0,[ 0.91752577  0.89320388],[ 0.89  0.92],[ 0.9035533   0.90640394],lbfgs,logistic,0.0001,(4, 5, 3)
0,[ 0.90776699  0.93298969],[ 0.935  0.905],[ 0.92118227  0.91878173],lbfgs,logistic,0.0001,(4, 5, 4)
0,[ 0.91625616  0.92893401],[ 0.93   0.915],[ 0.92307692  0.92191436],lbfgs,logistic,0.0001,(4, 5, 5)
0,[ 0.91584158  0.92424242],[ 0.925  0.915],[ 0.92039801  0.91959799],lbfgs,logistic,0.0001,(4, 5, 6)
0,[ 0.90384615  0.9375    ],[ 0.94  0.9 ],[ 0.92156863  0.91836735],lbfgs,logistic,0.0001,(4, 6, 2)
0,[ 0.91262136  0.93814433],[ 0.94  0.91],[ 0.92610837  0.92385787],lbfgs,logistic,0.0001,(4, 6, 3)
0,[ 0.92307692  0.90243902],[ 0.9    0.925],[ 0.91139241  0.91358025],lbfgs,logistic,0.0001,(4, 6, 4)
0,[ 0.90640394  0.91878173],[ 0.92   0.905],[ 0.91315136  0.91183879],lbfgs,logistic,0.0001,(4, 6, 5)
