ITER,KERNEL,PRECISION,RECALL,F-SCORE,C,GAMMA
1,linear,[ 0.92261905  0.80603448],[ 0.775  0.935],[ 0.8423913   0.86574074],0.01
1,linear,[ 0.92307692  0.80952381],[ 0.78   0.935],[ 0.84552846  0.86774942],0.1
1,linear,[ 0.92613636  0.83482143],[ 0.815  0.935],[ 0.86702128  0.88207547],1
1,linear,[ 0.91666667  0.84090909],[ 0.825  0.925],[ 0.86842105  0.88095238],10
1,linear,[ 0.91160221  0.84018265],[ 0.825  0.92 ],[ 0.86614173  0.87828162],100
1,linear,[ 0.91111111  0.83636364],[ 0.82  0.92],[ 0.86315789  0.87619048],1000
1,sigmoid,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.01,0.001
1,sigmoid,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.01,0.01
1,sigmoid,[ 0.90804598  0.81415929],[ 0.79  0.92],[ 0.84491979  0.86384977],0.01,0.1
1,sigmoid,[ 0.94   0.764],[ 0.705  0.955],[ 0.80571429  0.84888889],0.01,1
1,sigmoid,[ 0.37647059  0.40869565],[ 0.32  0.47],[ 0.34594595  0.4372093 ],0.01,10
1,sigmoid,[ 0.5060241   0.52941176],[ 0.84  0.18],[ 0.63157895  0.26865672],0.01,100
1,sigmoid,[ 0.50253807  0.66666667],[ 0.99  0.02],[ 0.66666667  0.03883495],0.01,1000
1,sigmoid,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.1,0.001
1,sigmoid,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],0.1,0.01
1,sigmoid,[ 0.92215569  0.80257511],[ 0.77   0.935],[ 0.83923706  0.86374134],0.1,0.1
1,sigmoid,[ 0.92682927  0.79661017],[ 0.76  0.94],[ 0.83516484  0.86238532],0.1,1
1,sigmoid,[ 0.32075472  0.29787234],[ 0.34  0.28],[ 0.33009709  0.28865979],0.1,10
1,sigmoid,[ 0.39393939  0.29411765],[ 0.52  0.2 ],[ 0.44827586  0.23809524],0.1,100
1,sigmoid,[ 0.44968553  0.30487805],[ 0.715  0.125],[ 0.55212355  0.17730496],0.1,1000
1,sigmoid,[ 0.90857143  0.81777778],[ 0.795  0.92 ],[ 0.848       0.86588235],1,0.001
1,sigmoid,[ 0.92261905  0.80603448],[ 0.775  0.935],[ 0.8423913   0.86574074],1,0.01
1,sigmoid,[ 0.92307692  0.80952381],[ 0.78   0.935],[ 0.84552846  0.86774942],1,0.1
1,sigmoid,[ 0.90116279  0.80263158],[ 0.775  0.915],[ 0.83333333  0.85514019],1,1
1,sigmoid,[ 0.29756098  0.28717949],[ 0.305  0.28 ],[ 0.30123457  0.2835443 ],1,10
1,sigmoid,[ 0.31472081  0.32019704],[ 0.31   0.325],[ 0.31234257  0.32258065],1,100
1,sigmoid,[ 0.38834951  0.3814433 ],[ 0.4   0.37],[ 0.39408867  0.37563452],1,1000
1,sigmoid,[ 0.92261905  0.80603448],[ 0.775  0.935],[ 0.8423913   0.86574074],10,0.001
1,sigmoid,[ 0.92307692  0.80952381],[ 0.78   0.935],[ 0.84552846  0.86774942],10,0.01
